,major,greQ,greV,greA,CGPA,univName
49512,52,152,162,3.5,0.901,SUNY Buffalo
49513,76,130,168.0851064,3,0.82358,SUNY Buffalo
49514,125,39,50,4,0.62,SUNY Buffalo
49515,66,134.0425532,170.212766,3.5,0.87,SUNY Buffalo
49516,37,155,165,4,0.841,SUNY Buffalo
49517,152,148,159,3.5,0.77,SUNY Buffalo
49586,52,154,164,4,0.715,Rutgers University New Brunswick/Piscataway
49587,72,130,165.9574468,3.5,0.79,Rutgers University New Brunswick/Piscataway
49588,198,144.6808511,146.8085106,4.5,0.683,Rutgers University New Brunswick/Piscataway
49589,52,160,167,4.5,0.73,Rutgers University New Brunswick/Piscataway
49590,52,130,163.8297872,4,0.7567,Rutgers University New Brunswick/Piscataway
49591,84,154,162,3.5,0.831,Rutgers University New Brunswick/Piscataway
49592,75,142.5531915,170.212766,3,0.78,Rutgers University New Brunswick/Piscataway
49593,52,130,168.0851064,3,0.74,Rutgers University New Brunswick/Piscataway
49594,72,160,160,4,0.89,Rutgers University New Brunswick/Piscataway
49595,45,158,168,3,0.855,Rutgers University New Brunswick/Piscataway
49596,45,156,164,4,0.7,Rutgers University New Brunswick/Piscataway
49597,52,130,168.0851064,4,0.81,Rutgers University New Brunswick/Piscataway
49598,76,130,161.7021277,4,0.718,Rutgers University New Brunswick/Piscataway
49599,152,148,159,3.5,0.77,Rutgers University New Brunswick/Piscataway
49620,75,130,148.9361702,4,0.7,Purdue University
49621,37,130,163.8297872,3.5,0.69,Purdue University
49622,202,33,50,6,1,Purdue University
49623,152,146.8085106,170.212766,6,0.74,Purdue University
49624,46,161.7021277,170.212766,4,0.79,Purdue University
49625,84,159,170,4,0.86,Purdue University
49626,75,150,159,3.5,0.8,Purdue University
49627,84,130,165.9574468,4,0.88,Purdue University
49628,37,155,165,4,0.841,Purdue University
49629,52,130,170.212766,5,0.73,Purdue University
49688,52,153,161,3.5,0.845,Ohio State University Columbus
