greV,greQ,greA,cgpa,univName
143,156,0,0.79,University of Massachusetts Amherst
130,157.4468085,4.5,0.7227,University of Southern California
130,157.4468085,4.5,0.7227,New Jersey Institute of Technology
130,155.3191489,2,0.815,University of Texas Dallas
147,164,2.5,0.62,University of Texas Arlington
130,155.3191489,2,0.815,Syracuse University
149,157,3,0.771,Arizona State University
130,155.3191489,2,0.815,Arizona State University
148,148,3,0.74,University of Texas Arlington
154,161,3,0.71,Arizona State University
130,159.5744681,3,0.89,SUNY Stony Brook
157,163,3,0.8004,Arizona State University
143,162,3,0.85,University of Texas Arlington
143,162,3,0.85,University of North Carolina Charlotte
130,146.8085106,4,0.6941,University of Texas Arlington
130,146.8085106,4,0.6941,University of North Carolina Charlotte
145,161,3.5,0.803,University of Texas Dallas
145,161,3.5,0.803,Syracuse University
157,160,4,0.71,SUNY Buffalo
157,160,4,0.71,Northeastern University
130,130,2.5,0.62,New Jersey Institute of Technology
146,163,3.5,0.752,University of Texas Dallas
130,157.4468085,3,0.84,University of North Carolina Charlotte
130,165.9574468,3,0.876,University of Minnesota Twin Cities
130,165.9574468,3,0.876,University of Florida
146,163,3.5,0.752,University of Florida
130,165.9574468,3,0.876,University of Cincinnati
148,160,3,0.912,University of Cincinnati
35,49,5,0.77,Texas A and M University College Station
141,159,3,0.71,Syracuse University
141,159,3,0.71,Northeastern University
149,152,2.5,0,George Mason University
130,165.9574468,3,0.876,Arizona State University
134.0425532,165.9574468,3,0.8,Arizona State University
130,159.5744681,3.5,0.753,Texas A and M University College Station
130,159.5744681,3.5,0.753,SUNY Buffalo
130,151.0638298,3.5,0.775,University of Texas Arlington
130,151.0638298,3.5,0.775,University of Southern California
130,151.0638298,3.5,0.775,University of California Irvine
139,158,3,0.76,University of Texas Arlington
139,158,3,0.76,Texas A and M University College Station
130,170.212766,3,0.64,University of Texas Arlington
130,165.9574468,4,0.5827,University of Texas Arlington
136.1702128,165.9574468,3.5,0.58,University of Cincinnati
130,165.9574468,4,0.5827,University of Arizona
136.1702128,165.9574468,3.5,0.58,SUNY Buffalo
130,165.9574468,4,0.5827,North Carolina State University
146.8085106,161.7021277,3.5,0.8175,Virginia Polytechnic Institute and State University
146.8085106,161.7021277,3.5,0.8175,University of Texas Dallas
146.8085106,161.7021277,3.5,0.8175,University of Florida
141,153,2,0.86,University of Wisconsin Madison
145,150,4.5,0.75,New Jersey Institute of Technology
130,161.7021277,3,0.6491,University of Texas Dallas
155,163,4,0.612,University of Illinois Urbana-Champaign
144,158,3,0.644,University of Illinois Chicago
134.0425532,153.1914894,3,0.68,University of Cincinnati
130,146.8085106,2.5,0.64,Texas A and M University College Station
155,163,4,0.612,Syracuse University
134.0425532,153.1914894,3,0.68,SUNY Stony Brook
134.0425532,153.1914894,3,0.68,SUNY Buffalo
134.0425532,153.1914894,3,0.68,Rutgers University New Brunswick/Piscataway
155,163,4,0.612,Northeastern University
130,161.7021277,3,0.6491,Northeastern University
149,156,3,0.6,New Jersey Institute of Technology
130,146.8085106,2.5,0.64,Clemson University
145,162,3,0,University of Texas Dallas
158,164,4,0.825,University of Colorado Boulder
159,159,4,0.68,University of Washington
159,159,4,0.68,University of Arizona
159,159,4,0.68,Texas A and M University College Station
159,159,4,0.68,Carnegie Mellon University
149,159,3,0.765,University of Texas Dallas
149,159,3,0.765,Northeastern University
145,159,3,0.81,Clemson University
150,159,2.5,0.61,University of Texas Dallas
156,163,0,0.7116,SUNY Buffalo
130,170.212766,3,0.786,New York University
151,161,3.5,0.621,New Jersey Institute of Technology
149,163,3.5,0.84,University of Texas Dallas
130,168.0851064,3,0.73,University of Texas Dallas
130,168.0851064,3,0.73,University of Texas Arlington
156,163,3.5,0.9293,University of Southern California
156,163,3.5,0.9293,University of Illinois Chicago
31,48,5,0.701,University of Cincinnati
156,163,3.5,0.9293,SUNY Stony Brook
149,163,3.5,0.84,SUNY Buffalo
31,48,5,0.701,SUNY Buffalo
136.1702128,170.212766,4,0.8236,Columbia University
130,163.8297872,3.5,0.974,University of Maryland College Park
130,163.8297872,3.5,0.974,University of Florida
130,163.8297872,3.5,0.974,New York University
130,159.5744681,3.5,0.69,University of Maryland College Park
130,163.8297872,3,0.63,George Mason University
152,164,3.5,0.7777,University of Florida
130,142.5531915,3.5,0.74,Northeastern University
144,154,0,0.76,University of Texas Dallas
130,153.1914894,3.5,0.71,University of Texas Arlington
154,155,4,0.9,University of Texas Dallas
144,161,3,0.76,New Jersey Institute of Technology
130,170.212766,5,0.95,Purdue University
155,164,5,0.9125,University of Minnesota Twin Cities
152,163,4.5,0.8,University of Texas Dallas
130,153.1914894,3.5,0.643,University of Texas Arlington
154,167,3,0.66,University of North Carolina Charlotte
150,169,3.5,0.804,University of Florida
130,153.1914894,3.5,0.643,University of Colorado Boulder
152,163,4.5,0.8,Syracuse University
152,163,4.5,0.8,SUNY Buffalo
154,167,3,0.66,New York University
160,163,4,0.756,Johns Hopkins University
160,163,4,0.756,Georgia Institute of Technology
130,153.1914894,3.5,0.643,George Mason University
160,163,4,0.756,Carnegie Mellon University
152,163,4.5,0.8,Arizona State University
143,157,3.5,0.66,Wayne State University
155,164,3,0.571,University of Texas Dallas
130,165.9574468,3.5,0.76,University of Texas Dallas
149,163,3.5,0.812,University of Texas Dallas
149,159,3,0.814,University of Texas Dallas
150,157,3,0.835,University of Texas Dallas
130,163.8297872,2.5,0.75,University of Texas Dallas
153,158,3,0.72,University of Texas Dallas
130,165.9574468,0,0.853,University of Texas Austin
143,157,3.5,0.66,University of Texas Arlington
148,159,4,0,University of Texas Arlington
149,163,3.5,0.812,University of Texas Arlington
130,168.0851064,3,0.82,University of Pennsylvania
162,162,4.5,0.869,University of Pennsylvania
150,159,3,0.836,University of North Carolina Charlotte
155,164,4,0.0792,University of North Carolina Charlotte
154,162,3.5,0.879,University of Minnesota Twin Cities
155,157,4,0.8225,University of Maryland College Park
159,163,0,0.845,University of Maryland College Park
162,162,4.5,0.869,University of Maryland College Park
152,163,0,0.707,University of Maryland College Park
130,165.9574468,3.5,0.76,University of Illinois Chicago
149,159,3,0.814,University of Illinois Chicago
130,157.4468085,3.5,0.788,University of Illinois Chicago
155,164,4,0.0792,University of Illinois Chicago
130,170.212766,3,0.89,University of Florida
155,164,4,0.0792,University of Florida
130,165.9574468,3.5,0.76,University of Colorado Boulder
149,163,3.5,0.812,University of Colorado Boulder
154,164,3,0.75,University of Cincinnati
150,162,3,0.781,University of Cincinnati
155,157,4,0.8225,University of Arizona
159,163,0,0.845,University of Arizona
158,163,4,0.755,University of Arizona
154,164,3,0.75,Syracuse University
150,157,3,0.835,Syracuse University
130,163.8297872,2.5,0.75,Syracuse University
152,163,0,0.707,Syracuse University
149,170,3,0.892,SUNY Stony Brook
155,157,4,0.8225,SUNY Buffalo
159,163,0,0.845,SUNY Buffalo
150,162,3,0.781,SUNY Buffalo
146,161,3,0.708,SUNY Buffalo
130,168.0851064,3,0.82,Rutgers University New Brunswick/Piscataway
130,155.3191489,3.5,0.75,Ohio State University Columbus
148,168,3.5,0.843,Ohio State University Columbus
155,164,3,0.722,Northeastern University
150,159,3,0.836,Northeastern University
154,164,3,0.75,Northeastern University
151,161,4.5,0.736,Northeastern University
130,168.0851064,3,0.82,Northeastern University
130,168.0851064,3.5,0.701,Northeastern University
130,159.5744681,3.5,0.7,Northeastern University
160,166,4,0.664,North Carolina State University
136.1702128,170.212766,3,0.68,North Carolina State University
162,162,4.5,0.869,North Carolina State University
158,163,4,0.755,New York University
130,157.4468085,3.5,0.788,New Jersey Institute of Technology
160,159,4,0.831,Georgia Institute of Technology
130,157.4468085,3.5,0.788,Georgia Institute of Technology
150,157,3,0.835,George Mason University
160,159,4,0.831,Carnegie Mellon University
158,163,4,0.755,Carnegie Mellon University
154,164,3,0.75,Carnegie Mellon University
130,168.0851064,3,0.82,Carnegie Mellon University
151,161,4.5,0.736,Arizona State University
162,162,4.5,0.869,Arizona State University
130,161.7021277,3.5,0.79,Arizona State University
130,157.4468085,3.5,0.788,Arizona State University
146,152,3,0.67,University of Utah
151,163,3,0.7235,Ohio State University Columbus
130,140.4255319,3.5,0.91,Johns Hopkins University
130,140.4255319,3.5,0.91,Carnegie Mellon University
130,159.5744681,3.5,0.686,Wayne State University
147,152,3,0,Wayne State University
148,152,3,0.748,Wayne State University
149,151,3,0.64,Wayne State University
141,156,2.5,0.76,Wayne State University
164,170,3.5,0.773,Virginia Polytechnic Institute and State University
156,167,4,0.878,Virginia Polytechnic Institute and State University
136.1702128,165.9574468,4,0.074,Virginia Polytechnic Institute and State University
160,168,4,0.949,University of Wisconsin Madison
130,159.5744681,4,0.82,University of Wisconsin Madison
153,167,4.5,0.927,University of Wisconsin Madison
24,49,0,0.67,University of Washington
156,167,4,0.878,University of Washington
37,47,5.5,0.81,University of Washington
156,165,3,0.944,University of Utah
153,164,4.5,0.822,University of Utah
144.6808511,170.212766,4.5,0.832,University of Utah
153,159,4,0.769,University of Texas Dallas
24,49,0,0.67,University of Texas Dallas
152,158,3.5,0.783,University of Texas Dallas
159,164,5,0.86,University of Texas Dallas
152,167,3.5,0.901,University of Texas Dallas
158,160,4.5,0.773,University of Texas Dallas
144,169,3,0.801,University of Texas Dallas
149,163,4,0.928,University of Texas Dallas
152,165,3.5,0.842,University of Texas Dallas
130,148.9361702,3,0.816,University of Texas Dallas
150,156,3,0.641,University of Texas Dallas
151,155,4,0.81,University of Texas Dallas
143,154,3,0.68,University of Texas Dallas
150,160,3.5,0.67,University of Texas Dallas
145,164,3,0.61,University of Texas Dallas
146,161,4,0.901,University of Texas Dallas
150,161,0,0.79,University of Texas Dallas
160,167,4,0.806,University of Texas Dallas
151,166,3.5,0.82,University of Texas Dallas
152,158,4,0.84,University of Texas Dallas
130,163.8297872,4.5,0.81,University of Texas Dallas
136.1702128,170.212766,4,0.773,University of Texas Dallas
130,170.212766,4.5,0.825,University of Texas Dallas
130,168.0851064,0,0.723,University of Texas Dallas
153,163,3,0.715,University of Texas Dallas
152,169,3.5,0.8,University of Texas Dallas
130,157.4468085,4.5,0.828,University of Texas Dallas
130,165.9574468,5,0.808,University of Texas Dallas
152,162,0,0.82,University of Texas Dallas
145,163,3,0.848,University of Texas Dallas
149,158,3.5,0.72,University of Texas Dallas
130,170.212766,1330,0.72,University of Texas Dallas
148,165,3,0.74,University of Texas Dallas
150,161,3.5,0.84,University of Texas Dallas
154,163,3.5,0.781,University of Texas Dallas
156,160,3.5,0.625,University of Texas Dallas
149,170,3.5,0.77,University of Texas Dallas
153,130,164,0.845,University of Texas Dallas
130,157.4468085,3.5,0.941,University of Texas Austin
141,159,2.5,0.676,University of Texas Arlington
152,158,3.5,0.783,University of Texas Arlington
130,159.5744681,4,0.82,University of Texas Arlington
150,156,3,0.69,University of Texas Arlington
149,151,3,0.64,University of Texas Arlington
156,165,3,0.944,University of Southern California
130,159.5744681,4,0.82,University of Southern California
149,163,4,0.928,University of Southern California
162,152,3,0.868,University of Southern California
130,163.8297872,3.5,0.75,University of Southern California
159,165,5,0.893,University of Southern California
153,164,4.5,0.822,University of Southern California
130,163.8297872,4.5,0.81,University of Southern California
148.9361702,165.9574468,4,0.874,University of Southern California
130,161.7021277,4,0.802,University of Southern California
155,162,4,0.68,University of Southern California
130,170.212766,4.5,0.825,University of Southern California
165,167,5.5,0.941,University of Southern California
152,162,0,0.82,University of Southern California
148,165,0,0.0959,University of Southern California
144,167,3.5,0.816,University of Southern California
148,161,4,0.789,University of Southern California
148.9361702,165.9574468,4,0.874,University of Pennsylvania
130,157.4468085,4.5,0.828,University of Pennsylvania
152,163,3.5,0.79,University of Pennsylvania
150,169,4,0.748,University of North Carolina Charlotte
144,160,3,0.714,University of North Carolina Charlotte
152,163,4,0.732,University of North Carolina Charlotte
136.1702128,170.212766,4,0.773,University of North Carolina Charlotte
130,168.0851064,2.5,0.668,University of North Carolina Charlotte
130,170.212766,3.5,0.643,University of North Carolina Charlotte
158,156,4.5,0.642,University of North Carolina Charlotte
130,161.7021277,3,0.703,University of North Carolina Charlotte
149,163,3,0.743,University of North Carolina Charlotte
160,168,4,0.949,University of Minnesota Twin Cities
152,165,3.5,0.842,University of Minnesota Twin Cities
130,170.212766,4.5,0.825,University of Minnesota Twin Cities
151.0638298,161.7021277,4.5,0.882,University of Minnesota Twin Cities
165,167,5.5,0.941,University of Minnesota Twin Cities
152,164,3,0.84,University of Minnesota Twin Cities
155,164,4,0.933,University of Minnesota Twin Cities
153,167,4.5,0.927,University of Minnesota Twin Cities
151,164,3,0.901,University of Michigan Ann Arbor
146,161,4,0.901,University of Massachusetts Amherst
147,163,4,0.729,University of Maryland College Park
37,47,5.5,0.81,University of Maryland College Park
130,148.9361702,4,0.756,University of Maryland College Park
130,165.9574468,0,0.871,University of Maryland College Park
153,160,3,0.819,University of Maryland College Park
159,161,0,0.756,University of Maryland College Park
159,164,5,0.86,University of Illinois Urbana-Champaign
163,160,4,0.766,University of Illinois Urbana-Champaign
164,170,3.5,0.773,University of Illinois Urbana-Champaign
149,163,3,0.94,University of Illinois Urbana-Champaign
140.4255319,155.3191489,4,0.778,University of Illinois Chicago
151,155,4,0.81,University of Illinois Chicago
130,163.8297872,4,0.733,University of Illinois Chicago
155,164,4.5,0.77,University of Illinois Chicago
140.4255319,157.4468085,0,0.077,University of Illinois Chicago
130,170.212766,3,0.75,University of Illinois Chicago
159,161,0,0.756,University of Illinois Chicago
160,168,4,0.949,University of Florida
156,166,4,0.786,University of Florida
130,159.5744681,4,0.82,University of Florida
130,157.4468085,3.5,0.941,University of Florida
160,150,3.5,0.71,University of Florida
160,167,4,0.806,University of Florida
130,168.0851064,3,0.852,University of Florida
148.9361702,165.9574468,4,0.874,University of Florida
130,161.7021277,4,0.802,University of Florida
130,170.212766,4.5,0.825,University of Florida
152,169,3.5,0.8,University of Florida
130,161.7021277,3.5,0.869,University of Florida
159,165,5,0.893,University of Colorado Boulder
158,164,4,0.716,University of Colorado Boulder
150,163,3,0.801,University of Colorado Boulder
157,160,3.5,0.864,University of Cincinnati
140.4255319,155.3191489,4,0.778,University of Cincinnati
151,155,4,0.81,University of Cincinnati
140.4255319,165.9574468,4,0.78,University of Cincinnati
149,163,3,0.94,University of Cincinnati
35,48,5.5,0.734,University of Cincinnati
40,49,4.5,0.78,University of Cincinnati
158,162,4,0.655,University of Cincinnati
37,47,5.5,0.81,University of Cincinnati
130,165.9574468,4.5,0.757,University of Cincinnati
130,165.9574468,0,0.871,University of Cincinnati
145,161,3,0.76,University of Cincinnati
140.4255319,157.4468085,0,0.077,University of Cincinnati
156,164,3,0.736,University of Cincinnati
150,163,3,0.801,University of Cincinnati
130,168.0851064,3.5,0.82,University of California San Diego
148.9361702,165.9574468,4,0.874,University of California Irvine
161,163,3.5,0.88,University of California Irvine
159,151,3.5,0.793,University of Arizona
149,163,3,0.94,University of Arizona
130,168.0851064,3,0.852,University of Arizona
144,167,3.5,0.816,University of Arizona
160,168,4,0.949,Texas A and M University College Station
140.4255319,155.3191489,4,0.778,Texas A and M University College Station
156,164,3.5,0.65,Texas A and M University College Station
140.4255319,157.4468085,0,0.077,Texas A and M University College Station
136.1702128,170.212766,3.5,0.93,Texas A and M University College Station
163,158,3,0.857,Texas A and M University College Station
143,163,3,0.72,Syracuse University
159,151,3.5,0.793,Syracuse University
130,163.8297872,4,0.733,Syracuse University
37,47,5.5,0.81,Syracuse University
130,153.1914894,3,0.764,Syracuse University
130,165.9574468,5,0.808,Syracuse University
159,161,0,0.756,Syracuse University
159,164,5,0.86,SUNY Stony Brook
130,157.4468085,3.5,0.941,SUNY Stony Brook
162,152,3,0.868,SUNY Stony Brook
164,170,3.5,0.773,SUNY Stony Brook
153,164,4,0.888,SUNY Stony Brook
148,165,0,0.0959,SUNY Stony Brook
148,161,4,0.789,SUNY Stony Brook
159,164,5,0.86,SUNY Buffalo
130,170.212766,4.5,0.745,SUNY Buffalo
155,162,0,0.67,SUNY Buffalo
159,151,3.5,0.793,SUNY Buffalo
140.4255319,165.9574468,4,0.78,SUNY Buffalo
152,163,4,0.732,SUNY Buffalo
150,163,4,0.736,SUNY Buffalo
136.1702128,170.212766,3,0.71,SUNY Buffalo
156,167,4,0.878,SUNY Buffalo
130,168.0851064,3,0.852,SUNY Buffalo
152,158,4,0.84,SUNY Buffalo
35,48,5.5,0.734,SUNY Buffalo
153,164,4,0.888,SUNY Buffalo
149,163,3,0.804,SUNY Buffalo
152,169,3.5,0.8,SUNY Buffalo
155,163,4,0.765,SUNY Buffalo
145,163,3,0.848,SUNY Buffalo
148,165,0,0.0959,SUNY Buffalo
158,156,4.5,0.642,SUNY Buffalo
151,161,3,0.705,SUNY Buffalo
148,165,3,0.74,SUNY Buffalo
130,161.7021277,3.5,0.869,SUNY Buffalo
153,164,4,0.888,Rutgers University New Brunswick/Piscataway
153,168,0,0.812,Rutgers University New Brunswick/Piscataway
155,166,0,0.875,Rutgers University New Brunswick/Piscataway
138.2978723,170.212766,3.5,0.886,Rutgers University New Brunswick/Piscataway
130,165.9574468,3.5,0.767,Rutgers University New Brunswick/Piscataway
164,160,5,0.916,Purdue University
130,161.7021277,3.5,0.869,Purdue University
152,165,3.5,0.842,Ohio State University Columbus
144.6808511,170.212766,4.5,0.832,Ohio State University Columbus
130,161.7021277,2.5,0.705,Ohio State University Columbus
150,163,3,0.801,Ohio State University Columbus
130,161.7021277,3.5,0.869,Ohio State University Columbus
153,159,4,0.769,Northeastern University
163,160,4,0.766,Northeastern University
144,169,3,0.801,Northeastern University
145,156,0,0.88,Northeastern University
156,160,3.5,0.638,Northeastern University
145,164,3,0.61,Northeastern University
164,170,3.5,0.773,Northeastern University
152,163,4,0.732,Northeastern University
151,166,3,0.764,Northeastern University
136.1702128,170.212766,3,0.71,Northeastern University
148,162,5,0.768,Northeastern University
130,168.0851064,2.5,0.668,Northeastern University
146,164,3,0.722,Northeastern University
130,165.9574468,4.5,0.757,Northeastern University
141,156,2.5,0.76,Northeastern University
130,165.9574468,5,0.808,Northeastern University
144,167,3.5,0.816,Northeastern University
155,166,0,0.875,Northeastern University
155,164,4.5,0.77,Northeastern University
156,164,3,0.736,Northeastern University
156,160,3.5,0.625,Northeastern University
152,161,3.5,0.89,Northeastern University
152,167,3.5,0.901,North Carolina State University
156,166,4,0.786,North Carolina State University
144,169,3,0.801,North Carolina State University
130,170.212766,4.5,0.745,North Carolina State University
152,165,3.5,0.842,North Carolina State University
162,152,3,0.868,North Carolina State University
147,163,4,0.729,North Carolina State University
159,165,5,0.893,North Carolina State University
136.1702128,170.212766,3,0.71,North Carolina State University
160,167,4,0.806,North Carolina State University
144.6808511,170.212766,4.5,0.832,North Carolina State University
157,167,3.5,0.86,North Carolina State University
130,165.9574468,5,0.808,North Carolina State University
148,165,0,0.0959,North Carolina State University
148,165,3.5,0.957,North Carolina State University
