,greV,greQ,greA,cgpa,univName
0,143.0,156.0,0.0,0.79,University of Massachusetts Amherst
4,130.0,157.4468085106383,4.5,0.7227,University of Southern California
5,130.0,157.4468085106383,4.5,0.7227,New Jersey Institute of Technology
6,130.0,155.3191489361702,2.0,0.8150000000000001,University of Texas Dallas
8,147.0,164.0,2.5,0.62,University of Texas Arlington
10,130.0,155.3191489361702,2.0,0.8150000000000001,Syracuse University
11,149.0,157.0,3.0,0.771,Arizona State University
12,130.0,155.3191489361702,2.0,0.8150000000000001,Arizona State University
13,148.0,148.0,3.0,0.74,University of Texas Arlington
16,154.0,161.0,3.0,0.71,Arizona State University
17,130.0,159.5744680851064,3.0,0.89,SUNY Stony Brook
20,157.0,163.0,3.0,0.8004000000000001,Arizona State University
21,143.0,162.0,3.0,0.85,University of Texas Arlington
22,143.0,162.0,3.0,0.85,University of North Carolina Charlotte
23,130.0,146.80851063829786,4.0,0.6940999999999999,University of Texas Arlington
24,130.0,146.80851063829786,4.0,0.6940999999999999,University of North Carolina Charlotte
28,145.0,161.0,3.5,0.8029999999999999,University of Texas Dallas
30,145.0,161.0,3.5,0.8029999999999999,Syracuse University
31,157.0,160.0,4.0,0.71,SUNY Buffalo
32,157.0,160.0,4.0,0.71,Northeastern University
33,130.0,130.0,2.5,0.62,New Jersey Institute of Technology
34,146.0,163.0,3.5,0.752,University of Texas Dallas
36,130.0,157.4468085106383,3.0,0.84,University of North Carolina Charlotte
38,130.0,165.95744680851064,3.0,0.8759999999999999,University of Minnesota Twin Cities
39,130.0,165.95744680851064,3.0,0.8759999999999999,University of Florida
40,146.0,163.0,3.5,0.752,University of Florida
41,130.0,165.95744680851064,3.0,0.8759999999999999,University of Cincinnati
42,148.0,160.0,3.0,0.9119999999999999,University of Cincinnati
43,35.0,49.0,5.0,0.77,Texas A and M University College Station
44,141.0,159.0,3.0,0.71,Syracuse University
46,141.0,159.0,3.0,0.71,Northeastern University
48,149.0,152.0,2.5,0.0,George Mason University
49,130.0,165.95744680851064,3.0,0.8759999999999999,Arizona State University
50,134.04255319148936,165.95744680851064,3.0,0.8,Arizona State University
51,130.0,159.5744680851064,3.5,0.753,Texas A and M University College Station
52,130.0,159.5744680851064,3.5,0.753,SUNY Buffalo
55,130.0,151.06382978723403,3.5,0.775,University of Texas Arlington
56,130.0,151.06382978723403,3.5,0.775,University of Southern California
58,130.0,151.06382978723403,3.5,0.775,University of California Irvine
59,139.0,158.0,3.0,0.76,University of Texas Arlington
60,139.0,158.0,3.0,0.76,Texas A and M University College Station
61,130.0,170.2127659574468,3.0,0.64,University of Texas Arlington
62,130.0,165.95744680851064,4.0,0.5827,University of Texas Arlington
64,136.17021276595744,165.95744680851064,3.5,0.58,University of Cincinnati
65,130.0,165.95744680851064,4.0,0.5827,University of Arizona
66,136.17021276595744,165.95744680851064,3.5,0.58,SUNY Buffalo
67,130.0,165.95744680851064,4.0,0.5827,North Carolina State University
72,146.80851063829786,161.70212765957447,3.5,0.8175,Virginia Polytechnic Institute and State University
73,146.80851063829786,161.70212765957447,3.5,0.8175,University of Texas Dallas
75,146.80851063829786,161.70212765957447,3.5,0.8175,University of Florida
78,141.0,153.0,2.0,0.86,University of Wisconsin Madison
79,145.0,150.0,4.5,0.75,New Jersey Institute of Technology
80,130.0,161.70212765957447,3.0,0.6491,University of Texas Dallas
82,155.0,163.0,4.0,0.612,University of Illinois Urbana-Champaign
83,144.0,158.0,3.0,0.644,University of Illinois Chicago
84,134.04255319148936,153.1914893617021,3.0,0.68,University of Cincinnati
85,130.0,146.80851063829786,2.5,0.64,Texas A and M University College Station
86,155.0,163.0,4.0,0.612,Syracuse University
87,134.04255319148936,153.1914893617021,3.0,0.68,SUNY Stony Brook
88,134.04255319148936,153.1914893617021,3.0,0.68,SUNY Buffalo
89,134.04255319148936,153.1914893617021,3.0,0.68,Rutgers University New Brunswick/Piscataway
90,155.0,163.0,4.0,0.612,Northeastern University
91,130.0,161.70212765957447,3.0,0.6491,Northeastern University
92,149.0,156.0,3.0,0.6,New Jersey Institute of Technology
94,130.0,146.80851063829786,2.5,0.64,Clemson University
95,145.0,162.0,3.0,0.0,University of Texas Dallas
96,158.0,164.0,4.0,0.825,University of Colorado Boulder
97,159.0,159.0,4.0,0.68,University of Washington
98,159.0,159.0,4.0,0.68,University of Arizona
99,159.0,159.0,4.0,0.68,Texas A and M University College Station
100,159.0,159.0,4.0,0.68,Carnegie Mellon University
102,149.0,159.0,3.0,0.765,University of Texas Dallas
103,149.0,159.0,3.0,0.765,Northeastern University
