,univName
0,University of Massachusetts Amherst
1,Worcester Polytechnic Institute
2,University of Southern California
3,New Jersey Institute of Technology
4,University of Texas Dallas
5,University of Texas Arlington
6,Syracuse University
7,Arizona State University
8,SUNY Stony Brook
9,University of North Carolina Charlotte
10,SUNY Buffalo
11,Northeastern University
12,University of Minnesota Twin Cities
13,University of Florida
14,University of Cincinnati
15,Texas A and M University College Station
16,George Mason University
17,University of California Irvine
18,University of Arizona
19,North Carolina State University
20,Virginia Polytechnic Institute and State University
21,University of Wisconsin Madison
22,University of Illinois Urbana-Champaign
23,University of Illinois Chicago
24,Rutgers University New Brunswick/Piscataway
25,Clemson University
26,University of Colorado Boulder
27,University of Washington
28,Carnegie Mellon University
29,New York University
30,Columbia University
31,University of Maryland College Park
32,Purdue University
33,Johns Hopkins University
34,Georgia Institute of Technology
35,Wayne State University
36,University of Texas Austin
37,University of Pennsylvania
38,Ohio State University Columbus
39,Northwestern University
40,University of Utah
41,University of Michigan Ann Arbor
42,University of California Santa Cruz
43,University of California San Diego
44,Cornell University
45,University of California Davis
46,University of North Carolina Chapel Hill
47,University of California Santa Barbara
48,University of California Los Angeles
49,Stanford University
50,Princeton University
51,Harvard University
52,California Institute of Technology
53,Massachusetts Institute of Technology
